experiment,participant_id,item_index,nll_base,nll_ours,delta_log_likelihood
guenther2023ViSpa,2,77,1.359375,0.69921875,0.66015625
guenther2023ViSpa,2,78,5.6640625,7.1328125,-1.46875
guenther2023ViSpa,2,79,2.15625,3.28125,-1.125
guenther2023ViSpa,2,80,1.765625,1.7734375,-0.0078125
guenther2023ViSpa,2,81,0.796875,1.203125,-0.40625
guenther2023ViSpa,2,82,0.67578125,0.546875,0.12890625
guenther2023ViSpa,2,83,1.1875,1.6328125,-0.4453125
guenther2023ViSpa,2,84,1.2578125,1.78125,-0.5234375
guenther2023ViSpa,2,85,1.4375,1.796875,-0.359375
guenther2023ViSpa,2,86,1.5,0.486328125,1.013671875
guenther2023ViSpa,2,87,1.890625,1.71875,0.171875
guenther2023ViSpa,2,88,1.734375,1.9296875,-0.1953125
guenther2023ViSpa,2,89,0.9296875,0.8125,0.1171875
guenther2023ViSpa,2,90,3.625,3.9375,-0.3125
guenther2023ViSpa,2,91,1.21875,0.921875,0.296875
guenther2023ViSpa,2,92,2.21875,1.5859375,0.6328125
guenther2023ViSpa,2,93,1.9765625,1.71875,0.2578125
guenther2023ViSpa,2,94,2.087890625,1.14453125,0.943359375
guenther2023ViSpa,2,95,1.390625,1.8984375,-0.5078125
guenther2023ViSpa,2,96,1.2421875,1.015625,0.2265625
guenther2023ViSpa,2,97,3.609375,1.9375,1.671875
guenther2023ViSpa,2,98,2.0625,2.171875,-0.109375
guenther2023ViSpa,2,99,0.8046875,2.015625,-1.2109375
guenther2023ViSpa,2,100,1.140625,0.87890625,0.26171875
guenther2023ViSpa,2,101,0.94921875,1.28125,-0.33203125
guenther2023ViSpa,2,102,1.546875,0.8125,0.734375
guenther2023ViSpa,2,103,1.28125,0.64453125,0.63671875
guenther2023ViSpa,2,104,6.109375,3.046875,3.0625
guenther2023ViSpa,2,105,1.03125,1.09375,-0.0625
guenther2023ViSpa,2,106,3.09375,3.9375,-0.84375
guenther2023ViSpa,2,107,0.45703125,0.22265625,0.234375
guenther2023ViSpa,2,108,1.796875,2.0,-0.203125
guenther2023ViSpa,2,109,2.03125,2.609375,-0.578125
guenther2023ViSpa,3,0,2.23876953125,2.060028076171875,0.178741455078125
guenther2023ViSpa,3,1,2.96875,1.6796875,1.2890625
guenther2023ViSpa,3,2,0.39453125,0.373046875,0.021484375
guenther2023ViSpa,3,3,0.72265625,0.46630859375,0.25634765625
guenther2023ViSpa,3,4,0.37890625,0.216796875,0.162109375
guenther2023ViSpa,3,5,0.91796875,1.0546875,-0.13671875
guenther2023ViSpa,3,6,2.359375,2.9375,-0.578125
guenther2023ViSpa,3,7,1.3046875,1.109375,0.1953125
guenther2023ViSpa,3,8,0.73046875,0.76171875,-0.03125
