experiment,participant_id,item_index,nll_minitaur,nll_ours,delta_log_likelihood
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,64,4.46875,5.0,-0.53125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,65,5.12109375,4.2578125,0.86328125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,66,1.4921875,1.5859375,-0.09375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,67,1.796875,1.8046875,-0.0078125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,68,1.109375,0.83203125,0.27734375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,69,2.75,3.421875,-0.671875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,0,3.890625,0.5078125,3.3828125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,1,7.5625,8.6875,-1.125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,2,9.171875,10.734375,-1.5625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,3,1.546875,1.3828125,0.1640625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,4,1.828125,2.109375,-0.28125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,5,1.3984375,0.78125,0.6171875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,6,1.21875,1.484375,-0.265625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,7,9.5,11.5,-2.0
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,8,8.0780029296875,10.0771484375,-1.9991455078125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,9,4.97265625,5.5146484375,-0.5419921875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,10,1.34375,0.82421875,0.51953125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,11,1.8125,3.625,-1.8125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,12,1.90625,2.6875,-0.78125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,13,1.09375,1.0859375,0.0078125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,14,4.3125,4.78125,-0.46875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,15,3.390625,3.53125,-0.140625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,16,0.953125,1.09375,-0.140625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,17,0.8984375,0.73828125,0.16015625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,18,1.5703125,1.6796875,-0.109375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,19,3.75,3.71875,0.03125
