experiment,participant_id,item_index,nll_base,nll_minitaur,delta_log_likelihood
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,55,1.0078125,0.953125,0.0546875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,56,1.859375,1.859375,0.0
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,57,4.984375,4.96484375,0.01953125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,58,1.296875,1.296875,0.0
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,59,1.28125,1.25,0.03125
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,60,1.046875,0.97265625,0.07421875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,61,1.6328125,1.65625,-0.0234375
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,62,5.0625,5.0,0.0625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,63,1.171875,1.171875,0.0
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,64,2.484375,2.53125,-0.046875
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,65,0.98828125,1.015625,-0.02734375
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,0,7.96875,7.71875,0.25
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,1,5.9375,6.15625,-0.21875
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,2,3.796875,3.609375,0.1875
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,3,1.8046875,1.7890625,0.015625
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,4,0.953125,0.890625,0.0625
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,5,0.5859375,0.5859375,0.0
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,6,2.625,2.625,0.0
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,7,8.0625,8.375,-0.3125
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,8,6.6875,6.65625,0.03125
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,9,4.685546875,4.74072265625,-0.05517578125
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,10,1.03125,1.078125,-0.046875
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,11,0.8828125,0.87890625,0.00390625
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,12,0.6328125,0.640625,-0.0078125
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,13,0.40625,0.357421875,0.048828125
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,14,4.875,4.8125,0.0625
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,15,6.328125,6.484375,-0.15625
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,16,7.265625,7.1875,0.078125
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,17,1.7109375,1.8203125,-0.109375
stella2026_formamentis_data,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,18,1.171875,1.2421875,-0.0703125
