experiment,participant_id,item_index,nll_base,nll_ours,delta_log_likelihood
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,67,1.796875,1.8046875,-0.0078125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,68,1.1328125,0.83203125,0.30078125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,69,2.703125,3.421875,-0.71875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,0,3.734375,0.5078125,3.2265625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,1,7.4375,8.6875,-1.25
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,2,9.375,10.734375,-1.359375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,3,1.53125,1.3828125,0.1484375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,4,1.71875,2.109375,-0.390625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,5,1.4453125,0.78125,0.6640625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,6,1.21875,1.484375,-0.265625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,7,9.375,11.5,-2.125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,8,8.1248779296875,10.0771484375,-1.9522705078125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,9,4.921875,5.5146484375,-0.5927734375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,10,1.25,0.82421875,0.42578125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,11,1.8046875,3.625,-1.8203125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,12,1.8046875,2.6875,-0.8828125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,13,1.15625,1.0859375,0.0703125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,14,4.3125,4.78125,-0.46875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,15,3.421875,3.53125,-0.109375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,16,0.953125,1.09375,-0.140625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,17,0.93359375,0.73828125,0.1953125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,18,1.5703125,1.6796875,-0.109375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,19,3.796875,3.71875,0.078125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,20,7.25,7.25,0.0
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,21,2.796875,2.671875,0.125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,22,0.71484375,0.36328125,0.3515625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,23,0.6328125,0.294921875,0.337890625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,24,1.3125,1.9375,-0.625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,25,0.84375,0.73046875,0.11328125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,26,7.773193359375,11.09326171875,-3.320068359375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,27,2.78125,2.84375,-0.0625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,28,7.279296875,8.9208984375,-1.6416015625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,29,1.46875,1.28125,0.1875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,30,1.0078125,1.09375,-0.0859375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,31,0.76953125,0.65234375,0.1171875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,32,1.703125,2.265625,-0.5625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,33,5.65625,6.3125,-0.65625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,34,18.0,17.8125,0.1875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,35,6.5625,6.9375,-0.375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,36,1.03125,0.87890625,0.15234375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,37,1.328125,1.796875,-0.46875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,38,1.390625,1.15625,0.234375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,39,0.98828125,1.015625,-0.02734375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,40,13.34375,12.59375,0.75
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,41,6.875,7.09375,-0.21875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,42,8.54638671875,10.439453125,-1.89306640625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,43,1.09375,0.94140625,0.15234375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,44,1.1875,1.1328125,0.0546875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,45,0.921875,0.76171875,0.16015625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,46,0.73828125,0.67578125,0.0625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,47,7.125,9.0625,-1.9375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,48,8.796875,8.75,0.046875
