experiment,participant_id,item_index,nll_base,nll_minitaur,delta_log_likelihood
guenther2024substitutions,2,0,11.9375,11.75,0.1875
guenther2024substitutions,2,1,7.21875,5.71875,1.5
guenther2024substitutions,2,2,2.21875,2.109375,0.109375
guenther2024substitutions,2,3,3.3984375,3.341796875,0.056640625
guenther2024substitutions,2,4,5.703125,5.6376953125,0.0654296875
guenther2024substitutions,2,5,0.837890625,0.84521484375,-0.00732421875
guenther2024substitutions,2,6,8.73828125,8.84375,-0.10546875
guenther2024substitutions,2,7,0.984375,0.984375,0.0
guenther2024substitutions,2,8,5.34326171875,5.444580078125,-0.101318359375
guenther2024substitutions,2,9,3.21875,3.53125,-0.3125
guenther2024substitutions,2,10,0.6405029296875,0.6014404296875,0.0390625
guenther2024substitutions,2,11,24.7548828125,24.1455078125,0.609375
guenther2024substitutions,2,12,0.578125,0.546875,0.03125
guenther2024substitutions,2,13,3.453125,3.515625,-0.0625
guenther2024substitutions,2,14,7.4443359375,7.388671875,0.0556640625
guenther2024substitutions,2,15,5.83984375,5.8046875,0.03515625
guenther2024substitutions,2,16,2.20703125,2.1953125,0.01171875
guenther2024substitutions,2,17,6.53125,6.40625,0.125
guenther2024substitutions,2,18,3.937255859375,4.046630859375,-0.109375
guenther2024substitutions,2,19,5.1318359375,5.1376953125,-0.005859375
guenther2024substitutions,2,20,5.984375,5.828125,0.15625
guenther2024substitutions,2,21,3.046875,3.046875,0.0
guenther2024substitutions,2,22,0.65185546875,0.685546875,-0.03369140625
guenther2024substitutions,2,23,1.724609375,1.740234375,-0.015625
guenther2024substitutions,2,24,4.0625,3.9609375,0.1015625
guenther2024substitutions,2,25,2.3125,2.21875,0.09375
guenther2024substitutions,2,26,5.88671875,5.77001953125,0.11669921875
guenther2024substitutions,2,27,2.65625,2.65625,0.0
guenther2024substitutions,2,28,1.046875,1.03125,0.015625
guenther2024substitutions,2,29,0.921875,0.890625,0.03125
guenther2024substitutions,2,30,3.3280029296875,3.304443359375,0.0235595703125
guenther2024substitutions,2,31,3.8125,3.75,0.0625
guenther2024substitutions,2,32,3.0771484375,3.1083984375,-0.03125
guenther2024substitutions,2,33,8.538330078125,8.53076171875,0.007568359375
guenther2024substitutions,2,34,2.03125,1.875,0.15625
guenther2024substitutions,2,35,2.59375,2.65625,-0.0625
guenther2024substitutions,2,36,0.423583984375,0.433349609375,-0.009765625
guenther2024substitutions,2,37,0.6943359375,0.784423828125,-0.090087890625
guenther2024substitutions,2,38,9.734375,9.171875,0.5625
guenther2024substitutions,2,39,9.70703125,9.6796875,0.02734375
guenther2024substitutions,2,40,5.53125,5.4375,0.09375
guenther2024substitutions,2,41,4.921875,4.53125,0.390625
guenther2024substitutions,2,42,0.6640625,0.65234375,0.01171875
guenther2024substitutions,2,43,3.8125,3.71875,0.09375
guenther2024substitutions,2,44,0.624755859375,0.6014404296875,0.0233154296875
guenther2024substitutions,2,45,5.4375,5.40625,0.03125
guenther2024substitutions,2,46,5.9375,5.75,0.1875
guenther2024substitutions,2,47,4.125,4.125,0.0
guenther2024substitutions,2,48,8.19140625,8.12890625,0.0625
guenther2024substitutions,2,49,5.03125,4.9921875,0.0390625
guenther2024substitutions,2,50,2.1689453125,2.23876953125,-0.06982421875
guenther2024substitutions,2,51,9.4375,9.5625,-0.125
guenther2024substitutions,2,52,2.3125,2.34375,-0.03125
guenther2024substitutions,2,53,14.4375,14.421875,0.015625
guenther2024substitutions,2,54,8.125,8.125,0.0
guenther2024substitutions,2,55,14.0859375,14.15625,-0.0703125
guenther2024substitutions,2,56,3.4296875,3.4755859375,-0.0458984375
guenther2024substitutions,2,57,6.125,6.265625,-0.140625
guenther2024substitutions,2,58,5.5,5.5625,-0.0625
guenther2024substitutions,2,59,3.96875,4.0,-0.03125
guenther2024substitutions,2,60,7.12109375,7.02734375,0.09375
guenther2024substitutions,2,61,0.5701904296875,0.6014404296875,-0.03125
guenther2024substitutions,2,62,18.1484375,17.9921875,0.15625
guenther2024substitutions,2,63,4.9033203125,4.8017578125,0.1015625
guenther2024substitutions,2,64,5.8154296875,5.82421875,-0.0087890625
guenther2024substitutions,2,65,5.31640625,5.38671875,-0.0703125
guenther2024substitutions,2,66,15.1484375,15.017578125,0.130859375
guenther2024substitutions,2,67,12.46875,12.375,0.09375
guenther2024substitutions,2,68,5.538330078125,5.475830078125,0.0625
guenther2024substitutions,2,69,1.0703125,1.0703125,0.0
guenther2024substitutions,2,70,16.98828125,16.671875,0.31640625
guenther2024substitutions,2,71,4.28125,4.40625,-0.125
guenther2024substitutions,2,72,6.189453125,6.166015625,0.0234375
guenther2024substitutions,2,73,1.5,1.484375,0.015625
guenther2024substitutions,2,74,7.828125,7.53125,0.296875
guenther2024substitutions,2,75,7.91015625,7.7734375,0.13671875
guenther2024substitutions,2,76,13.0625,13.125,-0.0625
guenther2024substitutions,2,77,7.0615234375,7.1552734375,-0.09375
guenther2024substitutions,2,78,0.8291015625,0.892578125,-0.0634765625
guenther2024substitutions,2,79,12.5146484375,12.240234375,0.2744140625
guenther2024substitutions,2,80,4.546875,4.5234375,0.0234375
guenther2024substitutions,2,81,17.021484375,16.556640625,0.46484375
guenther2024substitutions,2,82,6.280517578125,6.3193359375,-0.038818359375
