run_label,model_name,held_out_type,held_out_name,eval_loss,mean_summed_nll_per_item,sem_nll_per_item,n_items,n_sequences,timestamp
minitaur_stella2026_formamentis_data,minitaur,study,stella2026_formamentis_data,2.8239484396200814,3.4255619815025304,0.0324290051235317,12152,177,2026-09-01T17:55:34.742114+00:00
loo_tsaregorodtseva2026_mousetracking,ours,study,tsaregorodtseva2026_mousetracking,0.318252331420373,0.31793440075823703,0.002242020404454702,55760,164,2026-09-01T20:13:17.904944+00:00
base_tsaregorodtseva2026_mousetracking,base,study,tsaregorodtseva2026_mousetracking,0.42948350071736013,0.42941208651965457,0.0018994133709893484,55760,164,2026-09-01T20:21:49.731763+00:00
minitaur_tsaregorodtseva2026_mousetracking,minitaur,study,tsaregorodtseva2026_mousetracking,0.41522596843615495,0.4152458114295642,0.0019259474889695898,55760,164,2026-09-01T20:30:22.515926+00:00
loo_paradigm_comprehension,ours,paradigm,comprehension,0.452006560694585,0.45469937701394764,0.0056722039168332575,30442,457,2026-09-02T15:15:50.140929+00:00
base_paradigm_comprehension,base,paradigm,comprehension,0.5444825700949832,0.5476544002189359,0.007201081058387258,30442,457,2026-09-02T15:23:28.155183+00:00
minitaur_paradigm_comprehension,minitaur,paradigm,comprehension,0.5359634592159807,0.5390063529493586,0.007119101274900582,30442,457,2026-09-02T15:31:16.337589+00:00
loo_paradigm_self_paced_reading,ours,paradigm,self-paced reading,4.068315180191256,4.4957028248822155,0.003026498018863683,408470,249,2026-09-02T15:33:18.128537+00:00
loo_paradigm_lexical_decision,ours,paradigm,lexical decision,0.6401286212527468,0.6417753973244698,0.002307992935628506,494515,797,2026-09-02T15:43:34.200611+00:00
loo_paradigm_norms_ratings,ours,paradigm,norms/ratings,1.2293594042729774,1.2291652426607664,0.0013496217564727942,491601,2243,2026-09-02T15:47:24.858051+00:00
base_paradigm_self_paced_reading,base,paradigm,self-paced reading,4.0317297873235916,4.45473249562762,0.003159314850377748,408470,249,2026-09-02T16:15:43.935292+00:00
base_paradigm_lexical_decision,base,paradigm,lexical decision,0.688376711086023,0.6900855513029693,0.002318747052395085,494515,797,2026-09-02T16:43:05.989154+00:00
minitaur_paradigm_self_paced_reading,minitaur,paradigm,self-paced reading,4.030179651330218,4.453979635636846,0.003151041417291629,408463,249,2026-09-02T16:58:24.288978+00:00
base_paradigm_norms_ratings,base,paradigm,norms/ratings,1.2702715210099247,1.2701456226611614,0.0014036848779779428,491601,2243,2026-09-02T17:18:40.819561+00:00
minitaur_paradigm_lexical_decision,minitaur,paradigm,lexical decision,0.6839703495756305,0.6857773887825817,0.002320126369920402,494515,797,2026-09-02T17:43:03.810434+00:00
minitaur_paradigm_norms_ratings,minitaur,paradigm,norms/ratings,1.2653835376657085,1.2651224810499584,0.0013973425991734862,491601,2243,2026-09-02T18:48:36.863123+00:00
loo_paradigm_word_association,ours,paradigm,word association,3.4093372414229384,5.279111579062258,0.012300798031388834,61245,498,2026-09-02T21:26:09.974405+00:00
base_paradigm_word_association,base,paradigm,word association,3.5506136262994747,5.498243245362983,0.012458782123775866,61245,498,2026-09-02T21:32:01.157816+00:00
minitaur_paradigm_word_association,minitaur,paradigm,word association,3.539769731986589,5.4812057635883225,0.012411286304219143,61245,498,2026-09-02T21:37:55.692431+00:00
