freq_bin,mean_log_freq,mean_nll,n_items,study,model
"(3.781, 4.306]",4.056024134125568,0.22452333235222166,13381,hutchison2013_semantic,base
"(4.306, 4.832]",4.566600213482497,0.16310962465509496,14123,hutchison2013_semantic,base
"(4.832, 5.357]",5.06456437600306,0.14821477439882497,7178,hutchison2013_semantic,base
"(5.357, 5.883]",5.561645381348926,0.19283920863889298,3816,hutchison2013_semantic,base
"(5.883, 6.408]",6.115931211723868,0.22375284663142248,1214,hutchison2013_semantic,base
"(6.408, 6.934]",6.602464515299705,0.320377197265625,575,hutchison2013_semantic,base
"(6.934, 7.459]",7.306426425167943,0.18925266639859067,51,hutchison2013_semantic,base
"(2.199, 2.73]",2.437660744020363,0.21183611895586993,2220,hutchison2013_semantic,ours
"(2.73, 3.255]",3.0104099802012256,0.28231381516560566,3073,hutchison2013_semantic,ours
"(3.255, 3.781]",3.5599707106464566,0.24087266640635524,7423,hutchison2013_semantic,ours
"(3.781, 4.306]",4.056024134125568,0.1607978466727543,13381,hutchison2013_semantic,ours
"(4.306, 4.832]",4.566600213482497,0.1274278080683714,14123,hutchison2013_semantic,ours
"(4.832, 5.357]",5.06456437600306,0.11718613100304315,7178,hutchison2013_semantic,ours
"(5.357, 5.883]",5.561645381348926,0.13110885780062564,3816,hutchison2013_semantic,ours
"(5.883, 6.408]",6.115931211723868,0.18848357601260038,1214,hutchison2013_semantic,ours
"(6.408, 6.934]",6.602464515299705,0.22874357804008152,575,hutchison2013_semantic,ours
"(6.934, 7.459]",7.306426425167943,0.19306497012867646,51,hutchison2013_semantic,ours
